source,target
P45985,Q14315
Q86TC9,P35609
Q04771,P49354
P23769,P29590
P15927,P40763
P84077,Q9NZ52
P61204,P53365
P61204,P53367
Q8IZH2,P04075
P05067,Q92624
P51693,O75553
Q99967,P05549
Q09472,P05549
P04114,P55157
P32121,Q12967
P07333,P62993
P48634,P62993
O15116,O43776
P02730,Q9BWU0
P20749,Q99728
P08588,O14908
P38398,P18846
P38398,P43246
P38398,Q99728
P38398,P52701
O00192,P55291
P61457,Q13936
P49810,P07384
P20807,Q8WZ42
Q14643,P35219
Q96QZ7,P35222
P06400,Q13948
Q99816,P38936
Q13415,P49736
O43929,P49736
P33992,P49736
O00311,P49736
Q13416,P49736
P15927,P49736
Q9UBU7,P49736
O43823,P49736
P27694,P49736
P35244,P49736
O43913,P49736
P25205,P49736
P63104,P30304
Q8NF50,P60953
Q15642,P60953
Q16667,P24941
Q99708,P28749
P61296,P07199
Q00610,O14964
P17936,P02452
P10599,P02452
P15336,P84022
P15336,Q13485
P30281,Q9UBQ5
Q15311,P14635
P23284,P49069
P41240,P06213
P41240,P08069
P07585,P00533
Q14190,P27540
P81133,P27540
Q8IUM7,P27540
Q99075,Q05516
P12004,P24522
Q92547,Q02880
P21333,P35462
P62310,P62304
Q9Y4Z0,P62304
Q9Y4Y9,P62304
Q09472,P18146
Q92793,P18146
Q14980,P11171
Q9NPD3,P68104
P19174,P68104
Q86UP2,P29692
P35968,P08758
Q86YN6,P03372
P51532,P03372
Q8TDD1,P03372
P03372,Q5QJE6
P11362,P14324
P01137,P49354
P63165,P25445
Q9NZW5,P02792
P48634,P02671
P21333,P05556
P11362,O43559
P18507,O95166
P31947,P04150
O43294,P04150
P04150,O95905
P35557,O60825
P11021,Q9BZG8
P11168,P52292
P14672,Q9UER7
Q13002,O00560
Q13002,Q9NRD5
P39086,Q9NRD5
P39086,O00560
O60563,P28799
P49795,P19086
P49795,P09471
P49795,P04899
P49795,P08754
Q03933,P63279
P53667,Q02297
P21781,P98160
P48634,Q9UI95
P48634,O15460
P48634,P46092
Q07021,P48634
P60228,P48634
P48634,Q14697
P09651,P48634
P48634,P25788
P52272,P48634
P48634,Q9NTJ4
P48634,Q9UNL2
P48634,Q9UHI6
Q14157,P48634
Q16891,P48634
P48634,Q10570
P48634,P55345
P48634,P47897
Q13099,P48634
Q8IZH2,P46379
P42858,Q9BYW2
P54257,P42858
P42858,Q8IUH5
Q9NX55,P42858
Q15642,P42858
Q14814,P27348
P15923,P61296
P15923,Q02535
P08069,P35568
P62258,P08069
O15524,P08069
Q05397,P35568
P45983,P35568
P06213,P35568
P01583,Q99608
O60674,O14744
O60674,O15524
Q13895,P05787
P05783,P22681
P05783,O75190
P02545,P20700
P02545,P36956
P02545,Q9UHQ1
P55196,P11274
Q7Z465,P10415
Q12982,P10415
Q16637,P10415
Q13625,P10415
Q9NQC3,P10415
P10415,Q14457
P19838,P12980
Q86WV1,P08575
P09917,Q14019
P15498,P12956
Q15080,P12956
P13010,P12956
P49959,P12956
Q8N2W9,Q9UJU2
O75030,Q9UJU2
Q86SQ9,P28300
P67809,Q13242
Q5VV63,P32245
Q6VMQ6,Q9UIS9
Q13111,Q9UIS9
O75030,Q9Y6X2
O75030,Q9HBE1
O75030,P63279
P39687,P46821
P46821,P39687
P33993,Q13415
P33993,P06400
P33993,Q9UBU7
P33993,O00311
P33993,Q9UBD5
P33993,P27694
P33993,Q14192
P33993,Q13416
P33993,O43913
P48745,P62875
Q03164,Q9UNP9
Q03164,O75807
P55196,P47736
P55196,Q15223
P55196,P07737
P20929,Q86TC9
P08138,P22694
Q9UK45,P25929
Q9Y6H5,P37840
Q9H4G0,Q14980
P41279,P19838
Q04206,P01100
Q04206,Q9Y6X2
Q04206,Q96BH1
Q04206,Q8WUF5
P09651,P39748
P46087,Q96EZ8
P14921,Q9UER7
P31751,Q9UKG1
P15036,Q15131
Q9UPX8,Q14247
Q14247,O43516
P07333,O15524
Q13573,P12755
P01111,P52306
Q92990,P08581
Q9UGL1,P55316
P15498,Q15910
Q04864,P60510
P17948,P29353
P41143,Q5JY77
O00159,P22681
O43924,P62745
O43924,P61586
P52306,P61586
Q02548,Q04727
Q9UGL1,P55771
O60229,P19021
Q96F24,Q07869
Q92569,P42336
P02647,P54750
O95777,P52209
Q15036,P16109
P98161,Q13563
Q13563,P48995
P22459,Q12959
P35080,Q9Y613
O60921,P12004
P23467,Q5TCQ9
P10644,P31321
P31321,Q92667
P16591,P82094
P28482,P51955
Q5JVS0,P63244
Q92636,P63244
P10275,P63244
P05107,P63244
P63244,Q5JVS0
O15530,Q05513
Q8IX03,Q05513
Q09472,O75444
Q99819,P84095
Q9Y5K6,P20338
Q15276,P20339
Q8TB24,P61020
O43924,P62834
P52306,P62834
O00522,P62834
O15211,P61224
O43924,P61225
Q8IYI6,P11233
P51587,Q06609
Q06609,Q96B01
Q14565,Q06609
P27694,Q13416
P15927,Q13416
O60381,P06400
P06400,Q12931
Q9NY61,P06400
P06400,Q96FV9
O60381,Q08999
P19793,Q9H0E9
Q96F24,P19793
P16157,Q02094
P25791,P29375
P17542,P25791
Q9HAU5,P62851
P05386,P05387
Q15438,Q13795
O95985,P14678
Q5T2W1,P48764
Q5T2W1,Q14916
P16157,Q5VST9
P48436,Q13285
Q13285,P48552
P10909,P37173
O14795,Q16623
P26842,O15304
P62942,P36897
P25490,P62942
P26885,Q9Y6D6
P17542,Q86XI2
P10599,Q15080
P10644,Q92667
Q13402,P10644
P10644,O43572
O15273,Q8WZ42
O00213,Q12800
Q03701,P25208
P37275,Q14919
P37275,Q92993
Q99608,Q01094
