disorder;gene_symb
Brugada syndrome;SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2, GPD1L, KIAA0089, CACNA1C, CACNL1A1, CCHL1A1, TS, CACNB2, SCN1B, GEFSP1, BRGDA5, ATFB13, KCNE3, HOKPP, HYPP, DSC3, DSC4, SCN3B, SCNB3, BRGDA7, ATFB16, HCN4, SSS2
Bruton-type agammaglobulinemia;BTK, AGMX1, IMD1, XLA, AT
Burkitt lymphoma;MYC
CHARGE syndrome;CHD7, IS3, HH5, SEMA3E, SEMAH, KIAA0331
CLONE OF congenital afibrinogenemia;FGA, FGB, FGG
Caffey disease;COL1A1
Camurati-Engelmann disease;TGFB1, DPD1, CED
Canavan disease;ASPA
Carney complex;PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1, MYH8
Carpenter syndrome;RAB23, MEGF8, EGFL4, CRPT2
Charcot-Marie-Tooth disease intermediate type;DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5, MPZ, CMT1B, CMTDID, CHM, DSS, YARS, CMTDIC, TYRRS, YTS, YRS, GDAP1, CMT4A, CMT2K, CMTRIA, KARS, CMTRIB, DFNB89, INF2, FSGS5, C14orf173, CMTDIE, GNB4, CMTD1F, PLEKHG5, KIAA0720, DSMA4, CMTRIC
Charcot-Marie-Tooth disease type 1;MPZ, CMT1B, CMTDID, CHM, DSS, PMP22, CMT1A, CMT1E, DSS, PMP22, CMT1A, CMT1E, DSS, LITAF, CMT1C, EGR2, KROX20, NEFL, CMT2E, CMT1F
Charcot-Marie-Tooth disease type 2;KIF1B, CMT2A, CMT2A1, NBLST1, RAB7, CMT2B, PSN, GARS, SMAD1, CMT2D, HMN5, LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B, MED25, PTOV2, ARC92, CMT2B2, TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, HSPB1, HSP27, CMT2F, HMN2B, MPZ, CMT1B, CMTDID, CHM, DSS, NEFL, CMT2E, CMT1F, MPZ, CMT1B, CMTDID, CHM, DSS, GDAP1, CMT4A, CMT2K, CMTRIA, HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A, MFN2, KIAA0214, CMT2A2, AARS, CMT2N, DYNC1H1, DNCL, DNECL, CMT20, MRD13, SMALED1, LRSAM1, TAL, RIFLE, CMT2P, DHTKD1, KIAA1630, AMOXAD, CMT2Q, TRIM2, KIAA0517, CMT2R
Charcot-Marie-Tooth disease type 3;EGR2, KROX20, MPZ, CMT1B, CMTDID, CHM, DSS, PMP22, CMT1A, CMT1E, DSS, PRX, CMT4F
Charcot-Marie-Tooth disease type 4;EGR2, KROX20, MPZ, CMT1B, CMTDID, CHM, DSS, PMP22, CMT1A, CMT1E, DSS, PRX, CMT4F, GDAP1, CMT4A, CMT2K, CMTRIA, MTMR2, CMT4B1, NDRG1, HMSNL, CMT4D, SH3TC2, KIAA1985, MNMN, SBF2, MTMR13, CMT4B2, EGR2, KROX20, MPZ, CMT1B, CMTDID, CHM, DSS, GDAP1, CMT4A, CMT2K, CMTRIA, FGD4, FRABIN, CMT4H, FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP, PRX, CMT4F, SBF1, MTMR5, CMT4B3
Charcot-Marie-Tooth disease type X;PDK3, CMTX6, GJB1, CX32, CMTX1, AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, PRPS1, CMTX5, DFNX1, DFN2
Chediak-Higashi syndrome;LYST, CHS1
Clouston syndrome;GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2
Cockayne syndrome;ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, ERCC8, CKN1, CSA, UVSS2
Coffin-Lowry syndrome;RPS6KA3, RSK2, MRX19
Cornelia de Lange syndrome;NIPBL, CDLS1, DXS423E, SMC1, CDLS2, HDAC8, WTS, MRXS6, CDLS5, CSPG6, SMC3, HCAP, BAM, CDLS3, RAD21, SCC1, NXP1, KIAA0078, CDLS4
Costello syndrome;HRAS
Cowden disease;PTEN, MMAC1, GLM2, CWS1, SDHB, SDH2, SDHIP, PGL4, CWS2
Creutzfeldt-Jakob disease;HLA-DQB1, CELIAC1, PRNP, PRIP, KURU, CJD
Crigler-Najjar syndrome;UGT1A1, UGT1, GNT1, BILIQTL1
Crouzon syndrome;FGFR2, BEK, CFD1, JWS, TK14, BBDS
D-2-hydroxyglutaric aciduria;D2HGDH, D2HGD, IDH2, IDPM, D2HGA2
DNA ligase IV deficiency;LIG4, LIG4S
Danon disease;LAMP2, LAMPB, LGP110
Denys-Drash syndrome;WT1, NPHS4
DiGeorge syndrome;TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR
Diamond-Blackfan anemia;RPS19, DBA, DBA1, RPS24, DBA3, RPS17, RPS17L1, RPS17L2, DBA4, RPL35A, DBA5, RPL5, DBA6, RPL11, DBA7, RPS7, DBA8, RPS10, DBA9, RPS26, DBA10, RPL26, DBA11, RPL15, DBA12, RPS29, DBA13
Donohue Syndrome;INSR, HHF5
Dowling-Degos disease;KRT5, DDD1, POFUT1, OFUCT1, KIAA0180, DDD2, POGLUT1, CLP46, KTELC1, RUMI, C3orf9, DDD4
Down syndrome;GATA1, GF1, ERYF1, NFE1, XLTDA, XLTT, XLANP
Dravet Syndrome;SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3, SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D
Duane retraction syndrome;CHN1, CHN, ARHGAP2, RHOGAP2, DURS2
Dubin-Johnson syndrome;ABCC2, CMOAT
Duchenne muscular dystrophy;DMD, BMD, CMD3B
Ehlers-Danlos syndrome;B4GALT7, XGALT1, XGPT1, EDSP1, PLOD1, LH1, LLH, EDS6
Ehlers-Danlos syndrome progeroid type;B3GALT6, SEMDJL1, EDSP2
Ellis-Van Creveld syndrome;EVC, LBN, EVC2
Emery-Dreifuss muscular dystrophy;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B, FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, EMD, EDMD, STA, SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4, SYNE2, NUANCE, KIAA1011, EDMD5, TMEM43, ARVD5, ARVC5, EDMD7
FG syndrome;FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, CASK, MICPCH, FGS4, CMG, MRXSNA, MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX
Fabry disease;GLA
Fanconi syndrome;SLC34A1, SLC17A2, NPT2, NPHLOP1, FRTS2, EHHADH, PBFE, LBFP, FRTS3
Fanconi's anemia;FANCC, FACC, FANCD2, FANCD, FACD, FAD, FANCA, FACA, FA1, FA, FAA, FAAP95, FAAP90, FLJ34064, FANCB, FANCE, FACE, FANCF, BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, FANCI, KIAA1794, BRIP1, BACH1, FANCJ, PALB2, FANCN, PNCA3, RAD51C, FANCO, BROVCA3, SLX4, BTBD12, MUS312, KIAA1784, KIAA1987, FANCP, XRCC9, FANCG, PHF9, FANCL, FANCM, KIAA1596, ERCC4, XPF, FANCQ
Farber lipogranulomatosis;ASAH1, AC, SMAPME
Finnish type amyloidosis;GSN
Frasier syndrome;WT1, NPHS4
Friedreich ataxia;FXN, FRDA, FARR, X25
Fuchs' endothelial dystrophy;COL8A2, FECD1, PPCD2, SLC4A11, BTR1, NABC1, CHED2, CDPD, FECD4, ZEB1, TCF8, NIL2A, PPCD3, FECD6, AGBL1, CCP4, FECD8
Fukuyama congenital muscular dystrophy;FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4
GABA aminotransferase deficiency;ABAT, GABAT
Gamstorp-Wohlfart syndrome;HINT1, PRKCNH1, NMAN
Gaucher's disease;GBA, GBA, GBA, GBA, PSAP, SAP1
Gerstmann-Straussler-Scheinker syndrome;PRNP, PRIP, KURU, CJD
Gilbert syndrome;UGT1A1, UGT1, GNT1, BILIQTL1
Gilles de la Tourette syndrome;HDC, SLITRK1, KIAA1910, TTM
Gitelman syndrome;SLC12A3, NCCT, TSC
Glanzmann's thrombasthenia;ITGA2B, GP2B, CD41B, GT, BDPLT2, BDPLT16, ITGB3, GP3A, GT, BDPLT2, BDPLT16
Greig cephalopolysyndactyly syndrome;GLI3, PAPA, PAPB
Guillain-Barre syndrome;PMP22, CMT1A, CMT1E, DSS
Hailey-Hailey disease;ATP2C1, BCPM, HHD
Hajdu-Cheney syndrome;NOTCH2, AGS2, HJCYS
Hartnup disease;SLC6A19, HND
Hermansky-Pudlak syndrome;HPS1, AP3B1, ADTB3A, HPS2, HPS3, HPS4, HPS5, RU2, KIAA1017, HPS6, RU, DTNBP1, HPS7, BLOC1S3, BLOS3, HPS8, BLOC1S6, BLOS6, PLDN, PA, HPS9
Hirschsprung's disease;RET, MEN2A, HSCR1, EDNRB, HSCR2, ABCDS, WS4A
Huntington's disease;HTT, HD, IT15
IMAGe syndrome;CDKN1C, KIP2, BWS, IMAGE
Jensen syndrome;TIMM8A, DFN1, DDP, MTS, DDP1
Jervell-Lange Nielsen syndrome;KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2, KCNE1, JLNS, LQT5, JLNS2
Job's syndrome;STAT3, APRF, HIES, ADMIO
Johanson-Blizzard syndrome;UBR1, JBS
