disorder;gene_symb
UV-sensitive syndrome;ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, ERCC8, CKN1, CSA, UVSS2, UVSSA, KIAA1530, UVSS3
Ullrich congenital muscular dystrophy;COL6A1, COL6A2, COL6A3
Unverricht-Lundborg syndrome;CSTB, STFB, EPM1, PME, EPM1A, ULD
Usher syndrome;MYO7A, USH1B, DFNB2, DFNA11, PDZD7, USH2A, RP39, CLRN1, USH3A, USH3, RP61, USH1C, DFNB18A, CDH23, USH1D, PCDH15, DFNB23, USH1F, PCDH15, DFNB23, USH1F, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C, PDZD7, SANS, USH1G, WHRN, CIP98, KIAA1526, DFNB31, USH2D, HARS, USH3B, CIB2, KIP2
VACTERL association;HOXD13, HOX4I, SPD, BDSD, PTEN, MMAC1, GLM2, CWS1
Van Maldergem syndrome;DCHS1, PCDH16, FIB1, CDH19, VMLDS1, FAT4, VMLDS2, HKLLS2
Van der Woude syndrome;IRF6, VWS, LPS, PIT, PPS1, OFC6, GRHL3, SOM, TFCP2L4, VWS2
Waardenburg's syndrome;PAX3, WS1, HUP2, CDHS, WS3, PAX3, WS1, HUP2, CDHS, WS3, MITF, WS2A, CMM8, EDNRB, HSCR2, ABCDS, WS4A, SNAI2, SLUG, WS2D, SOX10, WS4, WS4C, PCWH, EDN3, WS4B, HSCR4, SOX10, WS4, WS4C, PCWH
Walker-Warburg syndrome;POMT1, MDDGA1, MDDGB1, MDDGC1, POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3
Warburg micro syndrome;RAB3GAP1, WARBM1, P130, RAB18, WARBM3, RAB3GAP2, RAB3GAP150, p150, KIAA0839, WARBM2, TBC1D20, C20orf140, WARBM4
Weaver syndrome;EZH2, EZH1, WVS
Weill-Marchesani syndrome;ADAMTS10, WMS1, FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1, ADAMTS17, LTBP2, LTBP3, GLC3D, MSPKA, WMS3
Werdnig-Hoffmann disease;SMN1, SMA1, SMA2, SMA3, SMA4
Wermer syndrome;MEN1
Werner syndrome;RECQL2, RECQ3, WRN
Wilson disease;ATP7B, WND
Wiskott-Aldrich syndrome;WAS, IMD2, THC1, SCNX
Wolff-Parkinson-White syndrome;PRKAG2, WPWS, CMH6
Wolfram syndrome;WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41, CISD2, WFS2, ZCD2, ERIS
X-linked chondrodysplasia punctata;ARSE, CDPX1, CDPXR, EBP, CDPX2, CPXD, CPX
X-linked hypophosphatemia;FGF23, ADHR, HPDR2, PHPTC, DMP1, ARHR, ARHP, CLCN5, CLCK2, NPHL2, DENTS, NPHL1, PHEX, HYP, HPDR1, LXHR, ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED
X-linked ichthyosis;STS, ARSC1, ARSC, SSDD, XLI
X-linked nonsyndromic deafness;POU3F4, DFN3, DFNX2, PRPS1, CMTX5, DFNX1, DFN2
X-linked sideroblastic anemia;ALAS2, ANH1, ASB, XLEPP, XLSA, ANH1
X-linked sideroblastic anemia with ataxia;ABCB7, ABC7, ASAT
Zellweger syndrome;PEX1, ZWS1, PBD1A, PBD1B
abetalipoproteinemia;MTP
acatalasia;CAT
aceruloplasminemia;CP
acheiropody;LMBR1, ACHP, C7orf2, PPD2, THYP, LSS
achondrogenesis type IA;TRIP11, TRIP230, CEV14, ACG1A
achondrogenesis type IB;SLC26A2, DTD, DTDST, D5S1708, EDM4
achondrogenesis type II;COL2A1
achondroplasia;FGFR3, ACH
achromatopsia;CNGA3, CNG3, ACHM2, CNGB3, ACHM3, ACHM1, PDE6H, RCD3, ACHM6, PDE6C, PDEA2, COD4, GNAT2, ACHM4
acrocallosal syndrome;KIF7, HLS2, ACLS, JBTS12
acrocapitofemoral dysplasia;IHH, BDA1
acrocephalosyndactylia;FGFR2, BEK, CFD1, JWS, TK14, BBDS
acrodermatitis enteropathica;SLC39A4, ZIP4
acrodysostosis;PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1, PDE4D, DPDE3, STRK1, ACRDYS2
acrofrontofacionasal dysostosis;ABCB7, ABC7, ASAT
acrokeratosis verruciformis;ATP2A2, ATP2B, DAR
acromesomelic dysplasia, Grebe type;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B
acromesomelic dysplasia, Hunter-Thompson type;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B
acromesomelic dysplasia, Maroteaux type;NPR2, ANPRB, AMDM, ECDM
acute intermittent porphyria;HMBS, PBGD, UPS
acute lymphocytic leukemia;BAX, BCR, CML, PHL, ALL, FLT3, NBS1, NBS
acute myeloid leukemia;AF10, ARHGEF12, LARG, KIAA0382, CBFB, PEBP2B, CEBPA, CEBP, CHIC2, BTL, ETV6, TEL, THC5, FLT3, GATA2, DCML, MONOMAC, IMD21, GMPS, JAK2, THCYT3, KIT, PBT, LPP, MLF1, NPM1, NSD1, ARA267, STO, SOTOS1, NUP214, D9S46E, CAN, CAIN, PICALM, CALM, CLTH, LAP, RUNX1, CBFA2, AML1, SH3GL1, EEN, TERT, TCS1, EST2, DKCA2, DKCB4, PFBMFT1, CMM9, WHSC1L1, NSD3
acute porphyria;ALAD, ALADH, PBGS
adenosine deaminase deficiency;ADA
adrenocortical carcinoma;TP53, P53, LFS1 , BCC7
adrenoleukodystrophy;PEX5, PXR1, PTS1R, PBD2A, PBD2B, ABCD1, ALD, AMN
adult spinal muscular atrophy;SMN1, SMA1, SMA2, SMA3, SMA4
advanced sleep phase syndrome;PER2, FASPS1, KIAA0347, CSNK1D, ASPS, FASPS2
agammaglobulinemia;IGHM, MU, AGM1, CD79B, IGB, B29, AGM6, IGLL1, IGO, IGL5, VPREB2, AGM2, CD79A, IGA, BLNK, SLP65, AGM4, LRRC8A, KIAA1437, AGM5, PIK3R1, GRB1, AGM7, SHORT, IMD36
age related macular degeneration;ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2, FBLN5, ARMD3, ADCL2, ARCL1A, HF1, CFH, HUS, ARMD4, AHUS1, CST3, ARMD11, RAXL1, QRX, CORD11, ARMD6, CFI, FI, AHUS3, ARMD13
aggressive periodontitis;CTSC, CPPI, PALS, PLS, HMS, PDON1, JPD
alcohol dependence;ADH1B, ADH2, ADH1C, ADH3, GABRA2, HTR2A, RCBTB1, CLLD7, GLP, TAS2R16, T2R16
alkaptonuria;HGD, AKU
alopecia universalis;HR, AU, MUHH1, HYPT4
alpha 1-antitrypsin deficiency;SERPINA1, PI, AAT
alpha thalassemia;ATRX, XH2, XNP, SHS, SFM1, MRXHF1, HBA1, HBH, HBA2, HBH, HBA1, HBH, HBA2, HBH
alpha-mannosidosis;MAN2B1, MANB
alternating hemiplegia of childhood;ATP1A2, FHM2, MHP2, ATP1A3, DYT12, RDP, AHC2, CAPOS
alveolar rhabdomyosarcoma;FOXO1A, FKHR, PAX3, WS1, HUP2, CDHS, WS3, PAX7, RMS2
alveolar soft part sarcoma;ASPSCR1, RCC17, ASPL, ASPS
amelogenesis imperfecta;ENAM, AIH2, AI1C, DLX3, TDO, AI4, LAMB3, AI1A, FAM83H, AI3, ENAM, AIH2, AI1C, KLK4, EMSP1, PRSS17, AI2A1, AMELX, AMG, AIH1, AMGX, AI1E, MMP20, AI2A2, WDR72, AI2A3, C4orf26, AI2A4, SLC24A4, NCKX4, SHEP6, AI2A5
amyotrophic lateral sclerosis;DCTN1, HMN7B, NEFH, PRPH, SOD1, ALS1, ALS2, ALSJ, PLSJ, IAHSP, SETX, SCAR1, AOA2, ALS4, FUS, TLS, ALS6, ETM4, ANG, RNASE5, ALS9, TARDBP, TDP43, ALS10, FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP, OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
amyotrophic lateral sclerosis type 1;DCTN1, HMN7B, NEFH, PRPH, SOD1, ALS1
amyotrophic lateral sclerosis type 10;TARDBP, TDP43, ALS10
amyotrophic lateral sclerosis type 11;FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP
amyotrophic lateral sclerosis type 12;OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
amyotrophic lateral sclerosis type 13;ATXN2, ATX2, SCA2, ASL13
amyotrophic lateral sclerosis type 14;VCP, IBMPFD1, ALS14
amyotrophic lateral sclerosis type 15;UBQLN2, PLIC2, CHAP1, ALS15
amyotrophic lateral sclerosis type 16;SIGMAR1, SRBP, ALS16
amyotrophic lateral sclerosis type 17;CHMP2B, DMT1, VPS2B, ALS17
amyotrophic lateral sclerosis type 18;PFN1, ALS18
amyotrophic lateral sclerosis type 19;ERBB4, HER4, ALS19
amyotrophic lateral sclerosis type 2;ALS2, ALSJ, PLSJ, IAHSP
amyotrophic lateral sclerosis type 21;MATR3, MPD2, ALS21
amyotrophic lateral sclerosis type 4;SETX, SCAR1, AOA2, ALS4
amyotrophic lateral sclerosis type 6;FUS, TLS, ALS6, ETM4
amyotrophic lateral sclerosis type 8;VAPB, VAPC, ALS8
amyotrophic lateral sclerosis type 9;ANG, RNASE5, ALS9
amyotrophic neuralgia;SEPT9, MSF, MSF1, NAPB
anauxetic dysplasia;RMRP, RMRPR, CHH
androgen insensitivity syndrome;AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
angioma serpiginosum;MYH14, KIAA2034, DFNA4A, PNMHH
aniridia;ELP4, PAX6NEB, AN, PAX6, AN2, MGDA, FVH1
anonychia congenita;RSPO4, CRISTIN4
antithrombin III deficiency;SERPINC1, AT3, AT3D, THPH7
aortic valve stenosis;NOTCH1, TAN1, AOS5, AOVD1, SMAD6, MADH6, AOVD2
argininosuccinic aciduria;ASL
arrhythmogenic right ventricular cardiomyopathy;TGFB3, ARVD1, RNHF, RYR2, VTSIP, ARVD2, ARVC2, TMEM43, ARVD5, ARVC5, EDMD7, DSP, KPPS2, PPKS2, DCWHKTA, PKP2, ARVD9, DSG2, ARVD10, ARVC10, CMD1BB, DSC2, DSC3, ARVD11, JUP, DP3, PDGB, ARVD12, CTNNA3, ARVD13
arterial calcification of infancy;ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED, ABCC6, ARA, ABC34, MLP1, PXE, GACI2
arterial tortuosity syndrome;SLC2A10, GLUT10, ATS
aspartylglucosaminuria;AGA
asphyxiating thoracic dystrophy;IFT80, KIAA1374, WDR56, SRTD2, ATD2, DYNC2H1, DNCH2, DHC2, ATD3, SRPS2B, SRTD3, TTC21B, THM1, NPHP12, SRTD4, ATD4, WDR19, SRTD5, ATD5, NPHP13, CED4
asthma;ADRB2, ALOX5, CCL11, SCYA11, HLA-G, HNMT, IL12B, NKSF2, IMD29, IL13, ALRH, BHR1, MUC7, PHF11, NYREN34, PLA2G7, PAFAH, PAFAD, SCGB3A2, UGRP1, TNF, TNFA
ataxia telangiectasia;ATM, ATA, AT1
atelosteogenesis;FLNB, SCT, AOI, LRS1, FLNB, SCT, AOI, LRS1, SLC26A2, DTD, DTDST, D5S1708, EDM4
atransferrinemia;TF, TFQTL1
atrial heart septal defect;NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2, GATA4, ASD2, VSD1, TACHD, TOF, TBX20, ASD4, ACTC1, CMD1R, CMH11, ASD5, LVNC4, TLL1, TLL, ASD6, MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3, CITED2, MRG1, P35SRJ, VSD2, ASD8, GATA6, AVSD5, ASD9, AVSD5, PACHD
atrioventricular septal defect;GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, CRELD1, AVSD2, GATA4, ASD2, VSD1, TACHD, TOF, GATA6, AVSD5, ASD9, AVSD5, PACHD
attention deficit hyperactivity disorder;ADHD1, ADHD2, ADHD3, ADHD4, DRD4, DRD5, DRD1B, DRD1L2
atypical teratoid rhabdoid tumor;SMARCB1, SNF5, INI1, RDT, RTPS1, MRD15, SWNTS1
autistic disorder;NLGN3, ASPGX1, AUTSX1, NLGN4, KIAA1260, AUTSX2, ASPGX2, MECP2, RTT, PPMX, MRX16, MRX79, AUTSX3, MRXSL, MRXS13, MRX79, MRX16, TMLHE, BBOX2, TMLH, TMLHED, AUTSX6
autoimmune lymphoproliferative syndrome;FAS, TNFRSF6, APT1, CD95, ALPS1A, FASLG, TNFSF6, APT1LG1, FASL, ALPS1B, CASP10, MCH4, ALPS2, CASP8, MCH5, ALPS2B, NRAS, ALPS4, NS6, CMNS, NCMS
autoimmune thrombocytopenic purpura;FCGR2C, CD32C
autosomal dominant non-syndromic intellectual disability;MBD5, KIAA1461, MRD1, ZBTB18, ZNF238, RP58, MRD22, CDH15, CDH14, CDH3, MRD3, KIRREL3, NEPH2, KIAA1867, KIRRE, MRD4, SYNGAP1, MRD5, MEF2C, C5DELq14.3, DEL5q14.3, GRIN2B, NMDAR2B, MRD6, EIEE27, DYRK1A, MNBH, MNB, MRD7, DOCK8, MRD2, GRIN1, NMDAR1, MRD8, KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9, CACNG2, MRD10, EPB41L1, MRD11, ARID1B, BAF250B, KIAA1235, MRD12, DYNC1H1, DNCL, DNECL, CMT20, MRD13, SMALED1, ARID1A, C1orf4, B120, SMARCF1, MRD14, SMARCB1, SNF5, INI1, RDT, RTPS1, MRD15, SWNTS1, SMARCA4, BRG1, RTPS2, MRD16, CTNNB1, MRD19, CTCF, MRD21, SETD5, KIAA1757, DEAF1, SPN, ZMYND5, MRD24, ADNP, ADNP1, KIAA0784, MRD28
autosomal dominant nonsyndromic deafness;DIAPH1, DFNA1, LFHL1, KCNQ4, DFNA2A, MYH14, KIAA2034, DFNA4A, PNMHH, DFNA5, EYA4, DFNA10, CMD1J, MYO7A, USH1B, DFNB2, DFNA11, COCH, DFNA9, TECTA, DFNA8, DFNA12, DFNB21, GJB2, CX26, DFNB1A, PPK, DFNA3A, KID, HID, COL11A2, STL3, DFNA13, DFNB53, FBCG2, POU4F3, BRN3C, MYH9, MHA, FTNS, DFNA17, BDPLT6, ACTG1, DFNA20, DFNA26, BRWS2, SIX1, BOS3, DFNA23, SLC17A8, VGLUT3, DFNA25, DSPP, DPP, DGI1, DFNA39, DTDP2, MYO6, DFNA22, DFNB37, TMC1, DFNB7, DFNB11, DFNA36, CCDC50, C3orf6, DFNA44, MYO1A, DFNA48, GRHL2, TFCP2L3, DFNA28, ECTDS, GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2, GJB3, CX31, DFNA2B, MIR96, MIRN96, DFNA50
autosomal dominant polycystic kidney;PKD1
autosomal dominant type IV Ehlers-Danlos syndrome;COL3A1
autosomal recessive non-syndromic intellectual disability;PRSS12, BSSP3, MRT1, CRBN, MRT2, CC2D1A, MRT3, ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15, NSUN2, TRM4, SAKI, MISU, MRT5, GRIK2, GLUR6, MRT6, TUSC3, M33, D8S1992, MRT7, MRT22, TECR, GPSN2, TER, SC2, MRT14, MED23, MRT18, ASXL1, KIAA0978, BOPS, MDS, GATA2, DCML, MONOMAC, IMD21, SF3B1, SF3B155, SAP155, MDS, TET2, KIAA1546, MDS, LINS1, WINS1, FLJ10583, MRT27, CRADD, RAIDD, MRT34, ARID1B, BAF250B, KIAA1235, MRD12, ANK3, MRT37, HERC2, SHEP1, MRT38, TTI2, C8orf41, MRT39, TAF2, TAF2B, TAFII150, CIF150, MRT40, KPTN, 2E4, MRT41, PGAP1, MRT42, KIAA1033, SWIP, MRT43, METTL23, C17orf95, MRT44
autosomal recessive nonsyndromic deafness;GJB2, CX26, DFNB1A, PPK, DFNA3A, KID, HID, GJB3, CX31, DFNA2B, GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2, MYO7A, USH1B, DFNB2, DFNA11, MYO15A, DFNB3, TMIE, DFNB6, TMC1, DFNB7, DFNB11, DFNA36, OTOF, DFNB9, NSRD9, AUNB1, TMPRSS3, ECHOS1, DFNB8, DFNB10, ATP2B2, PMCA2, CDH23, USH1D, USH1C, DFNB18A, TECTA, DFNA8, DFNA12, DFNB21, STRC, DFNB16, OTOA, DFNB22, WHRN, CIP98, KIAA1526, DFNB31, USH2D, MYO3A, DFNB30, MYO6, DFNA22, DFNB37, HGF, DFNB39, ESRRB, ESRL2, DFNB35, ESPN, PCDH15, DFNB23, USH1F, COL11A2, STL3, DFNA13, DFNB53, FBCG2, TRIOBP, KIAA1662, MARVELD2, MARVD2, TRIC, DFNB49, PJVK, DFNB59, LHFPL5, TMHS, DFNB67, RDX, DFNB24, LRTOMT, LRTOMT1, LRTOMT2, DFNB63, GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2, LOXHD1, DFNB77, GRXCR1, TPRN, C9orf75, DFNB79, PTPRQ, PTPGMC1, DFNB84A, SERPINB6, PI6, PTI, SPI3, DFNB91
autosomal recessive polycystic kidney;FCYT, PKHD1, ARPKD
azoospermia;GOPC, PIST, FIG, CAL, SPATA16, SPGF6, STK13, AIE2, SPGF5, SYCP3, SCP3, COR1, SPGF4, USP9Y, DFFRY, SPGFY2, SLC26A8, TAT1, SPGF3, CATSPER1, CATSPER, SPGF7, NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8, DPY19L2, SPGF9, SEPT12, SPGF10, KLHL10, SPGF11, NANOS1, NOS1, SPGF12, TAF4B, TAF2C2, TAFII105, SPGF13, ZMYND15, SPGF14
basal cell carcinoma;PTCH1, NBCCS, BCNS, HPE7, PTCH2, RASA1, GAP, CMAVM, PKWS
basal ganglia calcification;SLC20A2, MLVAR, GLVR2, IBGC1, PDGFRB, PDGFR, IBGC4, IMF1, PDGFB, SIS, IBGC5
benign familial infantile epilepsy;PRRT2, PKC, DYT10, EKD1, BFIS2, BFIC2, ICCA, SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS
benign neonatal seizures;KCNQ2, EBN1, EIEE7, BFNS1, KCNQ3, EBN2, BFNC2, DYRK1B, MIRK, AOMS3
bestrophinopathy;BEST1, VMD2, ARB, RP50
beta thalassemia;HBB, HBB, LCRB
beta-ketothiolase deficiency;ACAT1
beta-mannosidosis;MANBA, MANB1
biotin-responsive basal ganglia disease;SLC19A3, THMD2, BBGD
biotinidase deficiency;BTD
blepharophimosis, ptosis, and epicanthus inversus syndrome;FOXL2, BPES, BPES1, PFRK, POF3
blepharophimosis-intellectual disability syndrome;KAT6B, MYST4, MORF, GTPTS
blepharospasm;DRD5, DRD1B, DRD1L2
bloom syndrome;RECQL3, RECQ2, BLM, BS
blue color blindness;OPN1SW, BCP, CBT
blue cone monochromacy;OPN1LW, RCP, CBP, CBBM, OPN1MW, GCP, CBD, CBBM
brachydactyly;IHH, BDA1, BMP2, BMP2A, BDA2, BMPR1B, ALK6, GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B, ROR2, BDB1, BDB, NTRKR2, GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B, HOXD13, HOX4I, SPD, BDSD, HOXD13, HOX4I, SPD, BDSD, NOG, SYM1, SYNS1, PTHLH, BDE2, GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B
brachydactyly-syndactyly syndrome;HOXD13, HOX4I, SPD, BDSD
brachyolmia;TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL
bradyopsia;RGS9, PERRS, RGS9BP, R9AP, RGS9, PERRS
branchiooculofacial syndrome;TFAP2A, AP2TF, BOFS
branchiootic syndrome;EYA1, BOR, BOS1, OFC1, SIX1, BOS3, DFNA23
branchiootorenal syndrome;EYA1, BOR, BOS1, OFC1, SIX5, DMAHP, BOR2
breast cancer;AKT1, CWS6, ATM, ATA, AT1, BARD1, BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, BRIP1, BACH1, FANCJ, CASP8, MCH5, ALPS2B, CDH1, UVO, LCAM, ECAD, CHEK2, RAD53, CHK2, CDS1, LFS2, ESR1, ESR, ESTRR, HMMR, KRAS, KRAS2, RASK2, NS, CFC2, NQO2, NMOR2, PALB2, FANCN, PNCA3, PHB, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, PPM1D, WIP1, RAD51A, RECA, MRMV2, RAD54L, HR54, HRAD54, RB1CC1, CC1, KIAA0203, SLC22A1L, BWSCR1A, IMPT1, TP53, P53, LFS1 , BCC7, TSG101, XRCC3, CMM6
bronchiectasis;CFTR, ABCC7, CF, MRP7, SCNN1B, BESC1, SCNN1A, BESC2, SCNN1G, PHA1, BESC3
bulimia nervosa;BDNF, BULN2, ANON2
buphthalmos;CYP1B1, GLC3A
campomelic dysplasia;SOX9, CMD1, SRA1
carbamoyl phosphate synthetase I deficiency disease;CPS1, PHN
cardiofaciocutaneous syndrome;BRAF, NS7, KRAS, KRAS2, RASK2, NS, CFC2
carnitine palmitoyltransferase II deficiency;CPT2, IIAE4, CPT2, IIAE4, CPT2, IIAE4
carpal tunnel syndrome;TTR, PALB
cartilage-hair hypoplasia;RMRP, RMRPR, CHH
cataract;CRYGD, CRYG4, CTRCT4, CACA, CCA3, PCC, CRYBA2, CTRCT42, CRYGS, CRYG8, CTRCT20, GJA8, CX50, CTRCT1, CZP1, CAE1, VIM, CTRCT30, WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41, HSF4, CTM, CTRCT5, NHS, CXN, CTRCT40, CRYBA1, CRYB1, CTRCT10, CRYBB2, CRYB2, CTRCT3, CCA2, GJA3, CX46, CZP3, CAE3, CTRCT14, CRYAA, CRYA1, CTRCT9, CRYGC, CRYG3, CTRCT2, CCL, CRYBB3, CRYB3, CATCN2, CTRCT22, FYCO1, CATC2, CTRCT18, MAF, CCA4, CTRCT21, CRYBA4, CTRCT23, BFSP1, CP115, CTRCT33, CRYBB1, CATCN3, CTRCT17, BFSP2, CP49, CP47, CTRCT12, TDRD7, KIAA1529, TRAP, CATC4, CTRCT36, CRYGB, CRYG2, CTRCT39
celiac disease;HLA-DQA1, CELIAC1, HLA-DQB1, CELIAC1
central core myopathy;RYR1, MHS, CCO
centronuclear myopathy;DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5, MTMR14, C3orf29, HJUMPY, BIN1, AMPHL, MTM1, MTMX, MYF6, CNM3, CCDC78, C16orf25, CNM4, SPEG, APEG1, CNM5
cerebral amyloid angiopathy;CST3, ARMD11, ITM2B, BRI, ABRI, FBD, RDGCA, ITM2B, BRI, ABRI, FBD, RDGCA, APP, AAA, CVAP, AD1
cerebrotendinous xanthomatosis;CYP27A1, CYP27, CTX
cerebrovascular disease;ALOX5AP, FLAP, F2, THPH1, RPRGL2, F5, THPH2, RPRGL1, NOS3, PRKCH, PKCL, PRKCL
cervix carcinoma;FGFR3, ACH
cherubism;SH3BP2, CRPM
cholecystitis;ABCB4, PGY3, MDR3, ICP3
chondrocalcinosis;ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD
chondrosarcoma;EXT1
choreatic disease;NKX2-1, TITF1, NKX2A, TTF1
choroid plexus papilloma;TP53, P53, LFS1 , BCC7
choroideremia;CHM, TCD
chronic granulomatous disease;CYBA, NCF1, NCF2, CYBB, CGD, AMCBX2, IMD34, NCF4, P40PHOX
chronic mucocutaneous candidiasis;CARD9, CANDF2, CLEC7A, CLECSF12, DECTIN1, CANDF4
chronic myeloid leukemia;BCR, CML, PHL, ALL
citrullinemia;ASS1, ASS, SLC25A13, CTLN2, SLC25A13, CTLN2
cleft palate;UBB
cleidocranial dysplasia;RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD
clubfoot;PITX1, PTX1, BFT, POTX, CCF, LBNBG
coenzyme Q10 deficiency disease;COQ2, COQ10D1, MSA1, ADCK3, COQ8, CABC1, SCAR9, ARCA2, COQ10D4, COQ6, CGI10, COQ10D6, PDSS1, TPT, COQ1, COQ10D2, PDSS2, DLP1, C6orf210, COQ10D3, COQ9, C16orf49, COQ10D5
cold-induced sweating syndrome;CLCF1, BSF3, CLC, CISS2
coloboma;PAX6, AN2, MGDA, FVH1, SALL2, HSAL2, COLB
coloboma of optic nerve;PAX6, AN2, MGDA, FVH1
colon carcinoma;AKT1, CWS6, APC, GS, FPC, BTPS2, AURKA, STK15, AURORA2, BTAK, ARK1, STK6, AIK, AXIN2, ODCRCS, BAX, BUB1B, BUBR1, MVA1, CCND1, PRAD1, BCL1, CTNNB1, MRD19, DCC, MRMV1, EP300, RSTS2, FGFR3, ACH, FLCN, BHD, MCC, MLH3, HNPCC7, NRAS, ALPS4, NS6, CMNS, NCMS, ODC1, PDGFRL, PDGRL, PRLTS, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, PLA2G2A, PLA2B, PLA2L, MOM1, PTPN12, PTPG1, PTPRJ, DEP1, RAD54B, TLR2, TIL4, TLR4, ARMD10, TP53, P53, LFS1 , BCC7
colorectal cancer;AKT1, CWS6, APC, GS, FPC, BTPS2, AURKA, STK15, AURORA2, BTAK, ARK1, STK6, AIK, AXIN2, ODCRCS, BAX, BUB1B, BUBR1, MVA1, CCND1, PRAD1, BCL1, CTNNB1, MRD19, DCC, MRMV1, EP300, RSTS2, FGFR3, ACH, FLCN, BHD, MCC, MLH3, HNPCC7, NRAS, ALPS4, NS6, CMNS, NCMS, ODC1, PDGFRL, PDGRL, PRLTS, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, PLA2G2A, PLA2B, PLA2L, MOM1, PTPN12, PTPG1, PTPRJ, DEP1, RAD54B, TLR2, TIL4, TLR4, ARMD10, TP53, P53, LFS1 , BCC7, SMAD7, MADH7, CRCS3, POLD1, CRCS10, MDPL, POLE1, CRCS12, FILS
combined T cell and B cell immunodeficiency;IL2RG, SCIDX1, SCIDX, IMD4
combined oxidative phosphorylation deficiency;AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, GFM1, EFG1, GFM, COXPD1, MRPS16, COXPD2, TSFM, COXPD3, TUFM, EFTU, COXPD4, MRPS22, C3orf5, COXPD5, C12orf65, COXPD7, SPG55, AARS2, KIAA1270, MTALARS, COXPD8, LKENP, MRPL3, MRL3, COXPD9, MTO1, COXPD10, RMND1, COXPD11, EARS2, KIAA1970, COXPD12, PNPT1, OLD35, COXPD13, DFNB70, FARS2, FARS1, COXPD14, MTFMT, COXPD15, MRPL44, COXPD16, ELAC2, HPC2, COXPD17, SFXN4, COXPD18, LYRM4, ISD11, C6orf149, COXPD19, VARS2, KIAA1885, COXPD20, TARS2, COXPD21
common variable immunodeficiency;TNFRSF13B, TACI, CVID2, ICOS, AILIM, CVID1, CD19, CVID3, TNFRSF13C, BAFFR, CVID4, MS4A1, CD20, CVID5, CD81, TAPA1, CVID6, CR2, C3DR, SLEB9, CVID7, LRBA, LBA, CDC4L, CVID8, PRKCD, CVID9, ALPS3, NFKB2, LYT10, CVID10, IL21, CVID11
complement component 2 deficiency;C2, ARMD14
complement component 3 deficiency;C3, ARMD9, AHUS5
complement component 4a deficiency;C4A, C4S, C4AD
complement component 5 deficiency;C5, C5D, ECLZB
complement component 6 deficiency;C6
complement component 7 deficiency;C7
complement component 9 deficiency;C9, C9D, ARMD15
complement factor I deficiency;CFI, FI, AHUS3, ARMD13
cone dystrophy;PDE6H, RCD3, ACHM6, KCNV2, KV11.1, RCD3B, CACNA2D4, RCD4
